,dataset,example_index,project,commit_id,target,CWE ID,split
37,MSR,37,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
38,MSR,38,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
39,MSR,39,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
40,MSR,40,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
41,MSR,41,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,valid
42,MSR,42,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
43,MSR,43,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,test
44,MSR,44,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
45,MSR,45,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
46,MSR,46,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
47,MSR,47,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
48,MSR,48,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
49,MSR,49,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
50,MSR,50,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
51,MSR,51,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
52,MSR,52,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
53,MSR,53,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
54,MSR,54,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,valid
55,MSR,55,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,test
56,MSR,56,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
57,MSR,57,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
58,MSR,58,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
59,MSR,59,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,test
60,MSR,60,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
61,MSR,61,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
62,MSR,62,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
63,MSR,63,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
64,MSR,64,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
65,MSR,65,php,c351b47ce85a3a147cfa801fa9f0149ab4160834,0,CWE-119,train
66,MSR,66,php,12fe4e90be7bfa2a763197079f68f5568a14e071,0,CWE-119,train
67,MSR,67,php,12fe4e90be7bfa2a763197079f68f5568a14e071,0,CWE-119,train
68,MSR,68,php,12fe4e90be7bfa2a763197079f68f5568a14e071,0,CWE-119,train
69,MSR,69,php,12fe4e90be7bfa2a763197079f68f5568a14e071,0,CWE-119,train
70,MSR,70,php,12fe4e90be7bfa2a763197079f68f5568a14e071,0,CWE-119,valid
71,MSR,71,php,12fe4e90be7bfa2a763197079f68f5568a14e071,0,CWE-119,train
72,MSR,72,php,12fe4e90be7bfa2a763197079f68f5568a14e071,0,CWE-119,train
73,MSR,73,php,12fe4e90be7bfa2a763197079f68f5568a14e071,0,CWE-119,valid
74,MSR,74,php,12fe4e90be7bfa2a763197079f68f5568a14e071,0,CWE-119,train
75,MSR,75,php,12fe4e90be7bfa2a763197079f68f5568a14e071,0,CWE-119,train
98,MSR,98,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
99,MSR,99,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
100,MSR,100,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
101,MSR,101,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
102,MSR,102,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
103,MSR,103,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
104,MSR,104,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
105,MSR,105,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
106,MSR,106,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
107,MSR,107,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,test
108,MSR,108,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
109,MSR,109,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
110,MSR,110,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
111,MSR,111,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
112,MSR,112,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,train
113,MSR,113,php,c1224573c773b6845e83505f717fbf820fc18415,0,CWE-119,valid
