,name_Devign,coeff_Devign,name_ReVeal,coeff_ReVeal,name_ReGVD,coeff_ReGVD,name_CodeBERT,coeff_CodeBERT,name_VulBERTa-CNN,coeff_VulBERTa-CNN,name_VulBERTa-MLP,coeff_VulBERTa-MLP,name_PLBART,coeff_PLBART,name_LineVul,coeff_LineVul,name_Code2Vec,coeff_Code2Vec
0.0000,feat.single.for_statement,-0.0602,feat.single.if_statement,-0.0811,feat.single.if_statement,-0.0316,feat.while_dowhile,-0.3292,feat.while_dowhile,-0.0342,feat.while_dowhile,-0.1363,feat.unstructured,-0.0499,feat.single.if_statement,-0.0605,feat.single.if_statement,-0.04530141573
1.0000,feat.single.if_statement,-0.0547,feat.unstructured,-0.0313,feat.jumps,-0.0167,feat.unstructured,-0.0471,feat.single.if_statement,-0.0275,feat.macros,-0.0561,feat.jumps,-0.0432,feat.macros,-0.0050,feat.single.for_statement,-0.01920164409
2.0000,feat.while_dowhile,-0.0301,feat.single.call_expression,-0.0091,feat.pointers,-0.0070,feat.single.for_statement,-0.0291,feat.unstructured,-0.0266,feat.unstructured,-0.0360,feat.single.call_expression,-0.0138,feat.pointers,-0.0035,feat.macros,-0.01393917164
3.0000,feat.unstructured,-0.0128,feat.macros,-0.0071,feat.unstructured,-0.0048,feat.jumps,-0.0241,feat.jumps,-0.0213,feat.jumps,-0.0197,feat.pointers,-0.0098,feat.single.call_expression,-0.0001,feat.while_dowhile,-0.01233642194
4.0000,feat.single.call_expression,-0.0105,feat.pointers,-0.0009,feat.while_dowhile,-0.0041,feat.single.if_statement,-0.0226,feat.single.comment,-0.0172,feat.single.if_statement,-0.0129,feat.single.comment,-0.0081,feat.lexical.num_chars,0.0000,feat.single.call_expression,-0.005393559878
5.0000,feat.jumps,-0.0051,feat.lexical.num_chars,0.0001,feat.lexical.num_chars,0.0000,feat.pointers,-0.0055,feat.single.call_expression,-0.0047,feat.pointers,-0.0056,feat.single.if_statement,-0.0043,feat.single.comment,0.0017,feat.pointers,-0.00478162832
6.0000,feat.lexical.num_chars,0.0001,feat.jumps,0.0006,feat.single.call_expression,0.0006,feat.macros,-0.0027,feat.pointers,-0.0015,feat.single.call_expression,-0.0025,feat.lexical.num_chars,0.0001,feat.jumps,0.0024,feat.lexical.num_chars,3.22E-05
7.0000,feat.pointers,0.0003,feat.while_dowhile,0.0025,feat.single.comment,0.0059,feat.single.comment,-0.0017,feat.lexical.num_chars,0.0000,feat.single.comment,-0.0015,feat.single.for_statement,0.0018,feat.switch_case,0.0061,feat.single.comment,0.0004081293497
8.0000,feat.single.comment,0.0037,feat.arrays,0.0058,feat.macros,0.0088,feat.single.call_expression,-0.0010,feat.macros,0.0017,feat.lexical.num_chars,0.0000,feat.macros,0.0024,feat.arrays,0.0061,feat.unstructured,0.004223881559
9.0000,feat.macros,0.0077,feat.single.comment,0.0088,feat.arrays,0.0096,feat.lexical.num_chars,0.0001,feat.arrays,0.0070,feat.arrays,0.0061,feat.arrays,0.0069,feat.while_dowhile,0.0113,feat.switch_case,0.004270849558
10.0000,feat.arrays,0.0208,feat.switch_case,0.0233,feat.switch_case,0.0120,feat.arrays,0.0062,feat.single.for_statement,0.0296,feat.switch_case,0.0184,feat.while_dowhile,0.0360,feat.unstructured,0.0155,feat.arrays,0.01137480777
11.0000,feat.switch_case,0.0305,feat.single.for_statement,0.0360,feat.single.for_statement,0.0369,feat.switch_case,0.0196,feat.switch_case,0.0302,feat.single.for_statement,0.0227,feat.switch_case,0.0443,feat.single.for_statement,0.0580,feat.jumps,0.01309221781
