evaluation,Model,BOF_accuracy,BOF_precision,BOF_recall,BOF_f1,input_validation_accuracy,input_validation_precision,input_validation_recall,input_validation_f1,privilege_escalation_authorization_accuracy,privilege_escalation_authorization_precision,privilege_escalation_authorization_recall,privilege_escalation_authorization_f1,resource_allocation_free_accuracy,resource_allocation_free_precision,resource_allocation_free_recall,resource_allocation_free_f1,value_propagation_accuracy,value_propagation_precision,value_propagation_recall,value_propagation_f1,mixed_accuracy,mixed_precision,mixed_recall,mixed_f1
BOF,Devign,0.9090,0.3580,0.3135,0.3343,0.9063,0.1954,0.0919,0.1250,0.9051,0.2407,0.1405,0.1775,0.8917,0.2115,0.1784,0.1935,0.9067,0.1389,0.0541,0.0778,0.9137,0.3651,0.2486,0.2958
BOF,ReGVD,0.9348,0.6989,0.2321,0.3485,0.9302,0.1940,0.0949,0.1275,0.9490,0.2667,0.0250,0.0457,0.9467,0.3333,0.0227,0.0426,0.9176,0.3200,0.0857,0.1352,0.9398,0.4401,0.1089,0.1746
BOF,ReVeal,0.9157,0.4027,0.3243,0.3593,0.9130,0.2568,0.1027,0.1467,0.8972,0.1984,0.1351,0.1608,0.8980,0.1574,0.0919,0.1160,0.8688,0.1442,0.1622,0.1527,0.9004,0.3350,0.3730,0.3529
BOF,CodeBert,0.9338,0.6241,0.4019,0.2964,0.9281,0.6579,0.1572,0.0893,0.9222,0.3913,0.1104,0.0643,0.9225,0.3636,0.0767,0.0429,0.9233,0.3125,0.0338,0.0179,0.9346,0.6579,0.2679,0.3807
BOF,VulbertCNN,0.0751,0.0751,1.0000,0.1397,0.0751,0.0751,1.0000,0.1397,0.0751,0.0751,1.0000,0.1397,0.0751,0.0751,1.0000,0.1397,0.0751,0.0751,1.0000,0.1397,,,,
BOF,VulBERTa MLP,,,,,,,,,,,,,,,,,,,,,,,,
BOF,Code2Vec,0.9246,0.0000,0.0000,0.0000,0.9149,0.2632,0.0717,0.1127,0.9171,0.2879,0.0681,0.1101,0.9160,0.1667,0.0287,0.0489,0.9144,0.1346,0.0251,0.0423,0.9246,0.0000,0.0000,0.0000
BOF,PLBART,0.9359,0.6010,0.4357,0.5052,0.9246,0.4545,0.0179,0.0344,0.9185,0.2500,0.0429,0.0732,0.9201,0.2000,0.0214,0.0387,0.9185,0.1471,0.0179,0.0318,0.9346,0.7432,0.1964,0.3107
BOF,LineVul,0.9735,0.8339,0.8071,0.8203,0.9659,0.8525,0.6607,0.7445,0.9622,0.8390,0.6143,0.7093,0.9630,0.8381,0.6286,0.7184,0.9633,0.8824,0.5893,0.7066,0.9772,0.8884,0.7964,0.8399
input_validation,Devign,0.9254,0.1786,0.1538,0.1653,0.9431,0.3333,0.1846,0.2376,0.9335,0.1795,0.1077,0.1346,0.9062,0.0811,0.0923,0.0863,0.9468,0.3333,0.1077,0.1628,0.9313,0.2200,0.1692,0.1913
