Model,1%,5%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,,100-10% difference
Devign,0.2545,0.2940,0.3315,0.3662,0.3432,0.4057,0.3949,0.3838,0.3824,0.4144,0.3789,0.3746,,0.0431
LineVul,0.4521,0.5941,0.6364,0.6657,0.6702,0.6582,0.6931,0.6934,0.69,0.695,0.7133,0.7205,,0.0841
ReVeal,0.2683,0.3114,0.2963,0.3624,0.3901,0.4187,0.4324,0.4496,0.4399,0.4543,0.4774,0.6276,,0.3313
ReGVD,0,0.049,0,0,0.2162,0.3009,0.4095,0.3264,0.3649,0.4068,0.3369,0.3863,,0.3863
CodeBert,0,0.07743547044,0.3555,0.2960,0.2880,0.4154,0.3404,0.3896,0.3979,0.4117,0.4159,0.4463,,0.0908
VulBERTa-CNN,,,,,,,,,,,,0.1860426033,,0.1860426033
VulBERTa-MLP,,,,,,,,,,,,0,,0
Code2Vec,0.0000,0.2915,0.3063,0.2564,0.3095,0.3191,0.2745,0.3254,0.2912,0.2886,0.2857,0.3092,,0.0029
PLBART,0.0009,0.0298,0.1051,0.2453,0.3102,0.2577,0.2989,0.1677,0.4334,0.3851,0.3809,0.4219,,0.3168
